"hauljoin","region","subregion","vessel","cruise","haul","year","month","station","lon","lat","bdepth","btemp","slope","aspectE","aspectN","curve","bcurrentU","bcurrentV","bcurrentUSD","bcurrentVSD","tmax","phi","BPI","sponge","coral","pen","area","area.1","salshark","j_dogfish","a_dogfish","sleeper","j_big_sk","a_big_sk","j_ber_sk","a_ber_sk","j_long_sk","a_long_sk","j_mud_sk","a_mud_sk","j_ak_sk","a_ak_sk","j_alt_sk","a_alt_sk","j_white_sk","a_white_sk","sanddab","ej_atf","j_atf","a_atf","j_kam","a_kam","j_turbot","a_turbot","halibut","ej_fhs","j_fhs","a_fhs","j_berfl","a_berfl","slender","arctics","j_petrale","a_petrale","ej_english","j_english","a_english","ej_dover","j_dover","a_dover","deepsea","ej_rex","j_rex","a_rex","ej_yfs","j_yfs","a_yfs","lhdab","j_sakahalin","a_sakahalin","ej_starry","j_starry","a_starry","j_sands","a_sands","ej_nrs","j_nrs","a_nrs","j_srs","a_srs","ej_butter","a_butter","ej_akplce","j_akplce","a_akplce","ej_sable","j_sable","a_sable","pgrndr","j_yil","a_yil","j_great","a_great","j_bigmouth","a_bigmouth","a_pacsand","ej_pcod","j_pcod","a_pcod","ej_poll","j_poll","a_poll","j_atka","a_atka","j_eula","a_eula","cap","j_ssth","a_ssth","bfth","j_lsth","a_lsth","j_rebs","a_rebs","j_rough","a_rough","j_bspot","a_bspot","ej_pop","j_pop","a_pop","j_slvrgrey","a_slvrgrey","copper","j_dark","a_dark","j_dusky","a_dusky","j_dblotch","a_dblotch","j_splitnose","a_splitnose","j_gstripe","a_gstripe","j_widow","a_widow","j_ytail","a_ytail","j_rose","a_rose","j_quill","a_quill","j_black","a_black","bgill","tiger","a_boca","j_canary","a_canary","j_north","a_north","j_rdstrp","a_rdstrp","j_yeye","a_yeye","j_rdband","a_rdband","j_strptail","a_strptail","j_hquin","a_hquin","pygmy","j_shchin","a_shchin","j_sraker","a_sraker","ymouth","tanner","snow","gking","rking","bking","octo"
-19851,"EBS","NBS",162,201902,46,2019,8,"ZZ-24",-955772.24093075,1626221.31607444,71,0,0.0143072221020702,0.184429186582565,0.634057980775833,-3.89310238460894e-05,-0.00249751233495772,4.51305510068778e-05,0.00457499250769615,0.00290848817676306,17.3971179962158,4.82944374084473,0.00968788266181946,0,0,0,0.049997462,0.049997462,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,5,13,153,8,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1895,0,0,0,0
-19850,"EBS","NBS",162,201902,45,2019,8,"ZZ-23",-918172.24093075,1614321.31607444,63,0.4,0.166995164006948,0.0868897140026093,0.362539801746607,0.000750483595766127,-0.00269585882779211,-0.000189371672604466,0.00562513852491975,0.00320491206366569,19.9329147338867,4.66522645950317,0.964528858661652,0,0,0,0.05028228,0.05028228,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,66,0,128,33,0,0,0,0,0,1,14,1,0,0,0,0,0,0,226,0,0,0,0,0,0,1,1,0,0,0,0,20,13,5,0,791,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
-19849,"EBS","NBS",162,201902,44,2019,8,"ZZ-22",-890172.24093075,1602821.31607444,59,0.6,0.0428364413479964,2.47110923131307e-05,0.152026722828547,8.47465513894955e-05,-0.000274718195820848,0.0088273361325264,0.00749608300005396,0.00963988620787859,24.166343053182,4.48308324813843,1.91342445214589,0,0,0,0.046167825,0.046167825,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,162,0,22,10,0,0,0,0,0,39,43,27,0,0,0,0,0,5,200,0,0,0,0,0,0,1,1,0,0,0,0,67,18,4,0,548,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-19848,"EBS","NBS",162,201902,43,2019,8,"AA-22",-880505.574264083,1646154.64940777,35,0.7,0.084368006636699,-0.352546319365501,-0.66229880352815,2.32986700818098e-05,0.0119302642221252,-0.000162874411368345,0.00354694807901978,0.00325861014425755,21.3551991780599,4.37054793039958,0.165646659831206,3.98,0,0,0.017862899,0.017862899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,0,0,0,0,0,0,0,1,21,9,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,37,7,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
-19847,"EBS","NBS",162,201902,42,2019,8,"AA-23",-914172.24093075,1651321.31607444,56,0.3,0.0894568227231503,0.317917495965958,0.925908595323563,0.000208541223400971,7.59256818128051e-05,0.00708953035064042,0.0034548343392089,0.0131748598068953,16.1331520080566,4.59475302696228,0.684102341532707,0,0,0,0.04927136,0.04927136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,25,0,0,0,0,0,0,5,11,2,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,13,8,11,90,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037,0,0,0,0
-19841,"EBS","NBS",162,201902,76,2019,8,"R-20",-868922.24093075,1293071.31607444,50,4.2,0.0144972198177129,-0.810411602258682,-0.460654329508543,7.11383404450316e-06,-0.00150104082422331,-0.000398056945414282,0.005835025687702,0.00816914695315063,30.8074865341187,4.25511205196381,0.198136121034622,0,0,0,0.047954179,0.047954179,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,5,3,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,381,0,0,0,0,0,0,0,0,30,158,39,0,0,0,0,0,6,50,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0,37,195,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0
-19840,"EBS","NBS",162,201902,75,2019,8,"R-21",-904172.24093075,1302321.31607444,59,3.1,0.0268125268630683,-0.644082482671365,0.180818401277065,3.19599621434463e-06,-2.5866468604363e-05,-0.000243947586568538,0.012310495832935,0.0182975395582616,28.7144365310669,4.80943655967712,0.260852971114218,0,0,0,0.04920238,0.04920238,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,10,8,3,0,0,0,3,0,8,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,78,0,0,0,0,0,0,0,0,3,110,24,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,30,36,48,1230,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5081,0,0,0,0
-19835,"EBS","NBS",162,201902,74,2019,8,"S-21",-893172.24093075,1336821.31607444,54,2.9,0.0269339177757502,0.0703024715185165,-0.844137728214264,8.14039376564324e-05,-0.000612152507528663,-0.000539320579264313,0.00871130172163248,0.00707033649086952,25.9204387664795,4.50687551498413,1.00200223922729,0,0,0,0.046901322,0.046901322,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,129,0,0,0,0,0,0,0,0,32,221,84,0,0,0,0,0,12,134,0,0,0,0,0,0,0,0,0,0,0,0,43,10,147,737,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4684,0,0,0,0
-19834,"EBS","NBS",162,201902,73,2019,8,"S-20",-857172.24093075,1327321.31607444,48,4.1,0.0110154543071985,-0.968293905258179,-0.220690049231052,4.60750216007e-05,-0.00117166654672474,0.000830117875011638,0.00483819656074047,0.0030923627782613,27.7647228240967,4.02114486694336,0,0,0,0,0.046169991,0.046169991,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,6,2,0,0,0,0,4,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,749,301,0,0,0,0,0,0,0,0,81,692,12,0,0,0,0,0,38,157,0,0,0,0,0,0,0,0,0,0,0,0,35,13,1097,1379,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
-19833,"EBS","NBS",162,201902,72,2019,8,"S-19",-823172.24093075,1319821.31607444,41,6.3,0.0184169542044401,-0.1093347320954,0.961349308490753,3.45781143096247e-06,-0.00258844144021471,0.0027578651594619,0.00629324978217483,0.00563691789284348,31.0983072916667,3.77128291130066,0,0,0,0,0.039513312,0.039513312,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,253,0,0,0,0,0,0,0,0,49,215,23,0,0,0,0,0,24,32,0,0,0,0,0,0,0,0,0,0,0,0,59,1,60,121,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
