X,life_stage,species,Common name,NOTE,common_name2,sc_name,family,sp,abb_name
a_poll,a,poll,alaska pollock,NA,alaska pollock,Gadus chalcogrammus,Gadus,chalcogrammus,<i>G. chalcogrammus</i> (a)
a_starry,a,starry,adult starry flounder,NA,starry flounder,Platichthys stellatus,Platichthys,stellatus,<i>P. stellatus</i> (a)
a_nrs,a,nrs,adult northern rock sole,NA,northern rock sole,Lepidopsetta polyxystra,Lepidopsetta,polyxystra,<i>L. polyxystra</i> (a)
ej_yfs,ej,yfs,early juvenile yellowfin sole,NA,yellowfin sole,Limanda aspera,Limanda,aspera,<i>L. aspera</i> (ej)
ej_nrs,ej,nrs,juvenile northern rock sole,NA,northern rock sole,Lepidopsetta polyxystra,Lepidopsetta,polyxystra,<i>L. polyxystra</i> (ej)
lhdab,NA,NA,longhead dab,NA,longhead dab,Myzopsetta proboscidea,Myzopsetta,proboscidea,<i>M. proboscidea</i>
ej_pcod,ej,pcod,early juvenile pacific cod,NA,pacific cod,Gadus macrocephalus,Gadus,macrocephalus,<i>G. macrocephalus</i> (ej)
a_pcod,a,pcod,adult pacific cod,NA,pacific cod,Gadus macrocephalus,Gadus,macrocephalus,<i>G. macrocephalus</i> (a)
a_ak_sk,a,ak,adult alaska skate,NA,alaska skate,Bathyraja parmifera,Bathyraja,parmifera,<i>B. parmifera</i> (a)
j_fhs,j,fhs,juvenile flathead sole,NA,flathead sole,Hippoglossoides elassodon,Hippoglossoides,elassodon,<i>H. elassodon</i> (j)
a_bigmouth,a,bigmouth,adult bigmouth sculpin,NA,bigmouth sculpin,Hemitripterus bolini,Hemitripterus,bolini,<i>H. bolini</i> (a)
halibut,NA,NA,pacific halibut,NA,pacific halibut,Hippoglossus stenolepis,Hippoglossus,stenolepis,<i>H. stenolepis</i>
a_yfs,a,yfs,adult yellowfin sole,a_yfs,yellowfin sole,Limanda aspera,Limanda,aspera,<i>L. aspera</i> (a)
a_great,a,great,adult great sculpin,NA,great sculpin,Myoxocephalus polyacanthocephalus,Myoxocephalus,polyacanthocephalus,<i>M. polyacanthocephalus</i> (a)
j_turbot,j,turbot,juvenile greenland turbot,NA,greenland turbot,Reinhardtius hippoglossoides,Reinhardtius,hippoglossoides,<i>R. hippoglossoides</i> (j)
ej_fhs,ej,fhs,early juvenile flathead sole,NA,flathead sole,Hippoglossoides elassodon,Hippoglossoides,elassodon,<i>H. elassodon</i> (ej)
j_nrs,j,nrs,juvenile northern rock sole,NA,northern rock sole,Lepidopsetta polyxystra,Lepidopsetta,polyxystra,<i>L. polyxystra</i> (j)
a_fhs,a,fhs,adult flathead sole,NA,flathead sole,Hippoglossoides elassodon,Hippoglossoides,elassodon,<i>H. elassodon</i> (a)
j_yfs,j,yfs,juvenile yellowfin sole,NA,yellowfin sole,Limanda aspera,Limanda,aspera,<i>L. aspera</i> (j)
a_ber_sk,a,ber,adult bering skate,NA,bering skate,Bathyraja interrupta,Bathyraja,interrupta,<i>B. interrupta</i> (a)
