"","obj_diffusion","obj_null","deltaAIC","range","ln_kappa2","corr_pop_dens"
"Zenaida_macroura",38163.8861159104,38163.8861118126,-2.00000819555135,0.0024987136643449,7.03169998462812,0.999999999999797
"Tyrannus_verticalis",14727.4315452541,14727.4315434153,-2.0000036774909,0.00274448909847137,6.93788111295864,0.9999999999997
"Contopus_sordidulus",15468.0325644545,15468.0722762418,-1.92057642537839,1.61888375855582,0.557983897019869,0.98995188819135
"Eremophila_alpestris",59566.1577099652,59566.157703833,-2.00001226435415,0.00656855750406896,6.06518179941229,0.99999999999022
"Corvus_corax",24518.8739063182,24519.4603464394,-0.827119757588662,806.522138212886,-5.6530105760856,0.945158990543707
"Sturnus_vulgaris",49281.9088023742,49281.9170437721,-1.98351720409119,0.654549323539924,1.46352910666998,0.999276478820374
"Molothrus_ater",15919.7594651198,15919.7594632128,-2.00000381397331,0.00460050771668712,6.42130937922483,0.999999999997648
"Agelaius_phoeniceus",73110.836477505,73110.8364697627,-2.00001548469299,0.00622311135545312,6.11920605021974,0.999999999992122
"Sturnella_neglecta",98624.9556691006,98626.6079433189,1.30454843651387,1310.8347094456,-6.13869862522342,0.945158584366779
"Euphagus_cyanocephalus",39481.984723737,39481.9847190102,-2.00000945343345,0.00422369479911998,6.50676576002476,0.999999999998328
"Spizella_passerina",12412.3090389656,12412.3571195068,-1.90383891761667,1.79152125334221,0.456655649713304,0.987574026913299
"Melospiza_melodia",12372.4376504321,12373.178307168,-0.518686528172111,1559.74172682886,-6.31255475597205,0.945158511696301
"Pipilo_maculatus",16571.305636747,16572.4706794365,0.330085379122465,1557.34509158738,-6.31101701522028,0.945158512234606
"Pheucticus_melanocephalus",10891.5312652008,10893.2716583162,1.48078623074252,2167.72786570633,-6.64171406064274,0.945158427411952
"Piranga_ludoviciana",16480.4087630315,16480.4678515588,-1.88182294538274,406.550174944197,-4.96798658212794,0.945160909167471
"Petrochelidon_pyrrhonota",65280.2167303038,65280.2555768212,-1.92230696525075,1.344794935407,0.743479233791406,0.993507237537622
"Hirundo_rustica",12619.4629556362,12619.6776952528,-1.57052076682885,5.20333172974411,-0.609578366834277,0.957814450441411
"Vireo_gilvus",18689.991103606,18689.9911020162,-2.00000317965169,0.00939540328217665,5.70725549268612,0.999999999959068
"Troglodytes_aedon",12539.146941974,12539.5750164966,-1.14385095483158,747.751270791449,-5.57734962615576,0.945159097323498
"Turdus_migratorius",49121.4748436198,49121.4748365043,-2.0000142310455,0.0561471748278516,3.91949968463448,0.999999947912687
