"","obj_diffusion","obj_null","deltaAIC","range","ln_kappa2","corr_pop_dens"
"Zenaida_macroura",2577.10876167704,2577.10876142417,-2.00000050574454,0.000925028945488173,8.02540629936172,0.999999999999996
"Tyrannus_verticalis",1604.24576440444,1604.24576422958,-2.0000003497089,0.000882465696931156,8.07251141108518,0.999999999999997
"Contopus_sordidulus",1821.66098441708,1821.9036976568,-1.51457352055331,17.7159379611711,-1.83474391336184,0.946485588281877
"Eremophila_alpestris",2278.86063226104,2281.17946387551,2.63766322894298,9243.46007325642,-8.09195079050326,0.945158341909462
"Corvus_corax",2276.73974150403,2277.11536813365,-1.24874674075545,2031.529874863,-6.57682365029465,0.945158439950342
"Sturnus_vulgaris",2263.12634783669,2263.12634756001,-2.0000005533584,0.00114018909388832,7.816281929339,0.999999999999992
"Molothrus_ater",1891.3875102238,1891.39896006456,-1.97710031848419,1.06182740843103,0.979729376828932,0.996579094222213
"Agelaius_phoeniceus",2561.65990177207,2561.6599014973,-2.00000054954216,0.00274567296074134,6.93744984616704,0.999999999999701
"Sturnella_neglecta",2806.4902406238,2806.49024038013,-2.00000048732363,0.00157863103168828,7.49091801399583,0.999999999999966
"Euphagus_cyanocephalus",2170.70489372305,2170.77006971904,-1.86964800802707,1.45308513134818,0.666031797914297,0.992150657836475
"Spizella_passerina",1619.34998648927,1619.34998635749,-2.00000026356611,0.0017279120236753,7.40056229296121,0.999999999999954
"Melospiza_melodia",1524.86472566651,1525.41705625843,-0.895338816155345,3414.56930250303,-7.09608587388565,0.945158373399019
"Pipilo_maculatus",1695.64372443533,1697.22736590527,1.16728293988854,6769.29786497317,-7.7804318769808,0.945158346211692
"Pheucticus_melanocephalus",1484.43041194843,1488.08963750612,5.31845111538587,9023.33972496534,-8.06784903144495,0.945158342155202
"Piranga_ludoviciana",1712.13344623956,1712.13344604039,-2.00000039834322,0.00190640411858842,7.30225724262102,0.99999999999993
"Petrochelidon_pyrrhonota",2148.66693923887,2149.31859931688,-0.696679843982565,4.66879765532422,-0.501180806305339,0.960167203971914
"Hirundo_rustica",1629.73093204452,1629.88347800179,-1.69490808545652,3.4802954446615,-0.207396417234078,0.967909661870791
"Vireo_gilvus",1720.43575561635,1720.48656496975,-1.89838129320106,1724.06853502054,-6.41272143308576,0.945158479969539
"Troglodytes_aedon",1610.44936445841,1610.69483478274,-1.50905935133324,1172.73759367738,-6.02737534748292,0.945158646071158
"Turdus_migratorius",2750.92930593655,2751.05128068669,-1.75605049972,4.45428114274452,-0.454144917409678,0.961277665678856
