"","obj_diffusion","obj_null","deltaCAIC","deltaAIC","range","ln_kappa2","corr_depth"
"j_ber_sk",5089.75850500762,5122.43086148687,-1222.02978517886,63.3447129584893,0.427569606965141,1.88935895138925,0.964270005301502
"a_ber_sk",5343.35570925144,5345.48076026586,-28.7039685917262,2.2501020288255,0.181924339839626,2.74388516434565,0.993467976722851
"j_ak_sk",33920.4729020114,33923.0636228165,1.81866582235671,3.18144161018427,0.165134380998928,2.84071647709334,0.994951972730662
"a_ak_sk",20859.0261884446,20859.2023714248,-1.55230454934645,-1.64763403956022,0.0586694305848509,3.87555723231998,0.999834937995628
"j_alt_sk",4006.63504490809,4055.62018517582,-410.404919995854,95.9702805354536,0.378619187108951,2.01094513322651,0.970251186903687
"ej_atf",12509.6541214866,12521.3005270157,38.8869174263091,21.2928110582288,0.20469351042449,2.62596226051769,0.991220658851021
"j_atf",45426.4307582542,45436.2729447203,0.975296879449161,17.6843729323446,0.144322618837828,2.97542484762313,0.996548141423854
"a_atf",29621.1325671338,29624.2969445417,2.57485606925911,4.32875481565134,0.0920655101351752,3.42497565948553,0.999172130694087
"j_kam",28079.3446311475,28097.3492900531,35.1930291431054,34.0093178111565,0.194883016495491,2.6750765866873,0.992218850343585
"a_kam",7274.84501471153,7280.54764996699,126.254663731874,9.40527051090612,0.112739989018691,3.22239186457247,0.998380493995348
"j_turbot",11927.6487129027,11928.6265783824,4.13840359657479,-0.0442690406489419,0.111385902946437,3.23447527480275,0.998442201786288
"a_turbot",7764.86493880856,7780.10872313439,99.9692449585564,28.4875686516461,0.184350457322003,2.73063744441808,0.993240572263078
"halibut",33478.8014067578,33479.3723674555,-0.505656802721205,-0.85807860463683,0.0835113898679076,3.52249302166396,0.999408732115524
"ej_fhs",26325.2755395079,26326.4734551577,-0.0811778626521118,0.395831299611018,0.110696756766324,3.24068150804049,0.99847306996177
"j_fhs",59847.923100502,59848.1624318196,-2.92347663501278,-1.521337365004,0.049379003461504,4.04795074712316,0.999913626801382
"a_fhs",52679.2838772432,52680.7073562556,1.32644440798322,0.846958024718333,0.0680821620999574,3.72676080783623,0.999714673779421
"j_berfl",13842.9414347149,13849.415333198,-12.8412854242197,10.947796966233,0.472242988530695,1.78998239049465,0.958992701593254
"a_berfl",15175.129058747,15182.0718809844,-22.6848312705697,11.8856444747362,0.540202111469544,1.65553269979005,0.951358760374574
"j_rex",9113.6695722783,9120.41090390472,-4.17653766430158,11.482663252842,0.138997596173646,3.01301941055568,0.99690885487494
"a_rex",10563.9298223938,10574.5319980645,16.1671623633738,19.2043513413082,0.132544959843962,3.06055414237457,0.997318403608004
"ej_yfs",14999.8618162059,14999.8618140263,-2.01073982955131,-2.00000435922266,0.000295733537380875,9.16577249146498,0.99999999999987
"j_yfs",67107.135182975,67108.9427695579,12.6182080131257,1.61517316574464,145.362199933783,-3.93950778751558,0.832852878628376
"a_yfs",65695.310148818,65695.92324265,-2.78690138086677,-0.773812335974071,0.11560758912167,3.1972744458972,0.998245189256974
"lhdab",13692.1996186949,13692.8728128022,-72.4558213706478,-0.65361178542662,1.1087863053664e-08,19.3571355162751,1
"a_starry",8726.96812174084,8726.96795042616,-1.96811861582682,-2.0003426293697,0.00243061928663559,7.05932997447114,0.99999999943458
"ej_nrs",58549.8721795659,58551.1089601547,0.338438476726878,0.473561177728698,0.130560527639621,3.07563911725703,0.99743817590534
"j_nrs",57399.530688479,57399.5324643243,-1.98565105316811,-1.99644830933539,0.000795434741241031,8.17634251928639,0.999999999993509
"a_nrs",34744.3536655146,34757.5787540228,35.5723070617823,24.4501770163915,1879.60007384219,-6.49909353567486,0.832841418784942
"j_akplce",48856.9885891861,48873.1722735237,8.65768110999488,30.3673686753173,4.09733580284019,-0.370616187470781,0.845332723401459
"a_akplce",5805.24631817044,5844.59769241246,1492.13694829974,76.7027484840437,8195.23836459634,-7.97158780650394,0.832841353449849
"a_yil",12597.8619643646,12607.6328569569,-17.9897318452131,17.5417851845705,0.97707225265397,1.06291544692725,0.913462507660605
"j_great",8564.17753998851,8565.00254851785,-70.0267937160243,-0.349982941334019,1.58098426294579,0.581673166523104,0.883146649001173
"a_great",6573.05427791343,6573.47009193442,13.1548282990698,-1.16837195801054,0.0613484503735343,3.83090613776924,0.999805229394146
"a_bigmouth",16390.4383991216,16390.4413248373,-1.83899880493118,-1.99414856867224,5.01963850967516e-06,13.2418734077183,1
"ej_pcod",63578.7370802094,63584.2234538467,9.38732558843913,8.97274727455806,0.137724844981811,3.02221823202709,0.996992048396987
"j_pcod",47067.2621743234,47067.3832573029,-2.25095777401293,-1.75783404087997,0.0445762972471989,4.15027378392316,0.999941515123372
"a_pcod",56922.0587515546,56930.6513006316,3.04573358557536,15.1850981539756,0.221602423412682,2.54659115903092,0.989409106977072
"ej_poll",58532.8456320769,58537.5898597138,1.65671554673463,7.48845527388039,0.170815484477312,2.80689211404455,0.994468124627936
"j_poll",94551.3034781652,94551.2998474193,-2.00556644779863,-2.00726149175898,0.00361582914447407,6.66215485827733,0.999999997231867
"a_poll",23420.2512348926,23424.5865647789,-33.021472580469,6.67065977248421,4822.39361440074,-7.44130491343759,0.832841360298821
"cap",48360.9541548958,48370.7614584561,3.35788717214018,17.6146071206022,0.179653820828411,2.7564442683094,0.993677962094518
"tanner",69359.2381747465,69362.8223996865,-3.62018590373918,5.16844987991499,0.200035116926513,2.64898311405463,0.991699909568012
"snow",14428.5984361422,14452.9622939319,15.3344502705877,46.7277155793636,1.44634596784437,0.670680417184194,0.888393257049355
"rking",6775.98724340472,6778.89847609189,7.2565707549802,3.82246537435276,0.454612428877933,1.82803079852673,0.961052267830542
"bking",NA,NA,NA,NA,NA,NA,NA
