"","obj_diffusion","obj_null","deltaAIC","range","ln_kappa2","corr_depth"
"j_ber_sk",5089.57354205484,5117.44680224366,53.7465203776374,0.411238886352147,1.92830177217536,0.960929551662383
"a_ber_sk",5341.10864571595,5342.13781599807,0.058340564246464,0.140286535122692,3.00378903935994,0.99622226755738
"j_ak_sk",33924.8278942243,33926.0715838526,0.487379256432177,0.120482447625343,3.15597197036143,0.997593758568967
"a_ak_sk",20859.7051594104,20859.7026724075,-2.00497400578752,0.00643458200375438,6.08578916756527,0.999999963973513
"j_alt_sk",4015.0597704299,4048.29680495944,64.474069059077,0.385081865848184,1.99402009957194,0.964644871646536
"ej_atf",12491.062571205,12491.0625069647,-2.00012848044571,0.00118912156766846,7.77426119371633,0.999999999957892
"j_atf",45423.4561812641,45430.6669011106,12.421439692931,0.120945405219104,3.15213680258143,0.997565436940323
"a_atf",29628.1572633061,29630.0988693969,1.88321218155033,0.0767975162863532,3.60630375021282,0.9994520607903
"j_kam",28077.5043067999,28087.5291516778,18.0496897556877,0.150580373252809,2.93297906663566,0.995384556616291
"a_kam",7250.27668708561,7250.27456959441,-2.00423498239252,0.00773475283388507,5.90175252055643,0.999999924859667
"j_turbot",11925.974136445,11925.9872597887,-1.97375331265357,0.00479192642293339,6.38054354327257,0.999999988907353
"a_turbot",7742.60485002891,7748.72353396933,10.237367880829,0.108044075712544,3.26493679750196,0.998286177566215
"halibut",33486.6284979306,33487.4427657598,-0.371464341544197,0.0957249949241831,3.38599660548369,0.998841745679829
"ej_fhs",26298.9266687199,26298.9417890283,-1.96975938312244,0.00330206620128863,6.75292765567935,0.999999997497147
"j_fhs",59790.7173001997,59790.708369857,-2.01786068550427,0.0082811913460399,5.83348920940299,0.999999901316737
"a_fhs",52668.4511227583,52670.6126166261,2.32298773570801,0.0735055209460464,3.65011553151205,0.99953011567788
"j_berfl",13840.718896569,13847.3778132571,11.317833376037,0.468310526167435,1.798344456483,0.953097486844516
"a_berfl",15170.8739674596,15177.8346050254,11.9212751315863,0.556798031477802,1.62527347622871,0.941871885661971
"j_rex",9101.02010763671,9106.6813055291,9.32239578478038,0.124450216101874,3.12357028455457,0.997345137423902
"a_rex",10543.4213843305,10556.6909820058,24.5391953505459,0.131070096566445,3.07174378143613,0.996900878553698
"ej_yfs",14998.3247728418,14998.3194501503,-2.01064538305218,0.00037995239958285,8.91518534818564,0.999999999999558
"j_yfs",67104.5831865006,67107.5749929396,3.98361287798616,926.902309892484,-5.792127406101,0.82398281859498
"a_yfs",65690.34702398,65691.9646385557,1.23522915155627,0.149775334310165,2.938339649772,0.995453012170147
"lhdab",13691.3745638652,13689.3658290475,-6.01746963538608,0.000603326858546747,8.45277222496049,0.999999999997206
"a_starry",8726.3720344446,8726.37208732419,-1.99989424082014,0.00191527327488877,7.29761573507867,0.9999999997166
"ej_nrs",22287.0310916362,22287.0310783864,-2.00002649967792,0.000549776512835673,8.54571947345504,0.99999999999808
"j_nrs",58552.773223151,58553.8157915208,0.0851367396244314,0.0996051480756804,3.34626219906042,0.998680628759753
"a_nrs",57401.8053986422,57401.8205223774,-1.96975252972334,0.0243552306604162,4.75472941184608,0.999992829777736
"j_akplce",34740.9575966003,34755.4050356676,26.8948781347426,485.961531470407,-5.14640869657471,0.823983526860749
"a_akplce",48854.0157062833,48870.2406231871,30.4498338075064,3.87378152280928,-0.314510396790332,0.837053930683152
"a_yil",5844.15769061347,5844.15811867096,-1.99914388503385,0.00234850100385596,7.09369879589165,0.9999999993594
"j_great",12599.9232200097,12608.3593564666,14.872272913919,1.05199943986778,0.989028188969615,0.897959789195313
"a_great",8566.78877930474,8567.35424745652,-0.869063696431112,1.42121539140393,0.68820835586897,0.87866506351666
"a_bigmouth",6575.11004158889,6574.46658154088,-3.28692009603401,0.00166454735459615,7.43792282245144,0.999999999838319
"ej_pcod",16388.3513128368,16388.3522701777,-1.99808531832241,0.000179536088406432,9.66485509146562,0.999999999999982
"j_pcod",63514.3970583921,63514.7758852828,-1.24234621864161,0.0494512884697657,4.04648793608135,0.999889420038529
"a_pcod",46985.8938485914,46985.8841327983,-2.01943158608628,0.00593324633916398,6.16690454323827,0.9999999739467
"ej_poll",56922.7007189154,56923.5890208927,-0.223396045388654,0.0780724967789102,3.58983820891637,0.99941970549772
"j_poll",58533.0457139936,58535.4282203028,2.76501261838712,0.111864942534759,3.23018377639885,0.99808756881494
"a_poll",94528.6410288078,94528.6617831121,-1.95849139126949,0.00751648071151428,5.93037801189216,0.999999932976449
"cap",23419.1808413354,23423.838653366,7.31562406111334,3218.43042786007,-7.03692830409476,0.823982572376423
"tanner",48320.1096159582,48320.9650781073,-0.289075701817637,0.0692420523196888,3.70986767928768,0.999619835048765
"snow",69356.9147626273,69358.3600182018,0.890511149016675,0.11499291475577,3.20260553417622,0.997915665350166
"rking",14424.4158175797,14449.5302049446,48.2287747297451,1.28709029969964,0.787336681750446,0.88477964269103
"bking",6774.5993916279,6778.05263166731,4.9064800788401,0.496321545351483,1.74025205621953,0.949416895907542
