"","obj_diffusion","obj_null","deltaCAIC","deltaAIC","range","ln_kappa2","corr_pop_dens"
"Zenaida_macroura",2577.1087616629,2577.10876142417,-1.99916366114212,-2.00000047745561,0.000891206073754066,8.06265564440073,0.999999999999998
"Tyrannus_verticalis",1604.24576437977,1604.24576422958,-2.00006650460728,-2.00000030037245,0.000818693861279805,8.14752111058132,0.999999999999998
"Contopus_sordidulus",1821.66098441828,1821.9036976568,-2.12689232285629,-1.51457352294528,2.79313763255248,0.0125552074137622,0.946482466679452
"Eremophila_alpestris",2274.5558845285,2281.17946387551,-2.55868896933043,11.2471586940283,17.5568829466273,-1.8257252928763,0.634357520140836
"Corvus_corax",2275.63663410522,2277.11536813365,-0.35866849166905,0.95746805687304,762.585409271616,-5.59699374352825,0.531950173593381
"Sturnus_vulgaris",2263.126347759,2263.12634756001,-1.99849594273473,-2.00000039797669,0.000930861508978389,8.01912081771752,0.999999999999997
"Molothrus_ater",1891.38751022343,1891.39896006456,-1.97725112916123,-1.97710031774932,0.994102666758582,1.04563556202171,0.996578893688537
"Agelaius_phoeniceus",2561.65990170378,2561.6599014973,-1.99995875833247,-2.00000041297062,0.00238011187505327,7.08032855691853,0.999999999999833
"Sturnella_neglecta",2803.83732630408,2806.49024038013,-2.21553443485027,3.30582815209891,53.9338130629951,-2.94803683994074,0.547350765715207
"Euphagus_cyanocephalus",2170.70489372922,2170.77006971904,-1.90657945285966,-1.869648020358,1.29253827032897,0.783112834338966,0.992149884271147
"Spizella_passerina",1619.34998648794,1619.34998635749,-1.99915854056599,-2.00000026090038,0.00172387297108467,7.40290256296076,0.999999999999953
"Melospiza_melodia",1524.28663665554,1525.41705625843,-1.93565226719056,0.260839205779121,8.25968297441827,-1.07166543513537,0.770287264049095
"Pipilo_maculatus",1694.19203312226,1697.22736590527,-5.84508251240004,4.07066556603149,14.1249168018369,-1.6082196160398,0.668467204521917
"Pheucticus_melanocephalus",1482.3659059709,1488.08963750612,-8.07196752288564,9.4474630704317,8.42315098939743,-1.09126321417824,0.766391985434619
"Piranga_ludoviciana",1710.32496507883,1712.13344604039,-2.93237123236304,1.61696192311319,1252.90149758047,-6.09349656770217,0.531898322098106
"Petrochelidon_pyrrhonota",2148.66693924051,2149.31859931688,-0.634047160334376,-0.696679847260384,2.41902404148049,0.156356600658484,0.960170898104716
"Hirundo_rustica",1629.73093204375,1629.88347800179,-1.66679321998799,-1.69490808391038,2.19497793303325,0.253548777651132,0.967909389363617
"Vireo_gilvus",1719.96465873218,1720.48656496975,-2.42462648039145,-0.956187524850975,1147.92975492629,-6.00599461507887,0.531904158773712
"Troglodytes_aedon",1610.44810762448,1610.69483478274,-1.7436035088449,-1.50654568347181,2.98968888686615,-0.0554485599336406,0.939062852481871
"Turdus_migratorius",2751.20345226848,2751.05128068669,-1.84729032797168,-2.30434316357787,2028.73494038971,-6.57544692486322,0.531879441599715
