"","obj_diffusion","obj_null","deltaAIC","range","ln_kappa2","corr_depth"
"j_ber_sk",5106.53036901552,5118.15314824653,21.2455584620184,0.709810780529086,1.38247762160287,0.937154070347459
"a_ber_sk",5343.6337257322,5343.6337251899,-2.00000108460517,0.0000640257254733286,10.6959463656882,0.999999999999999
"j_ak_sk",33922.6517971108,33925.5555642974,3.80753437321982,0.157674142916638,2.88694553304651,0.995801667917335
"a_ak_sk",20854.9073997682,20854.9073951552,-2.00000922595791,0.000159171909716409,9.7852465174674,0.999999999999986
"j_alt_sk",4018.07652637632,4057.54389035542,76.9347279581998,0.361928099246067,2.05603047859124,0.972716255338605
"ej_atf",12511.2658033829,12514.3303375217,4.12906827749248,0.130777976061335,3.07397500371222,0.997616090771384
"j_atf",45425.4630549175,45436.5842996744,20.242489513912,0.143353877155769,2.98215981107944,0.996834397954318
"a_atf",29648.2549782785,29649.8004620612,1.09096756530926,0.0759149962431003,3.61786180597614,0.999629203344129
"j_kam",28097.5425151398,28102.1416699647,7.19830964980065,0.148558088049902,2.94650000274531,0.996476211314031
"a_kam",7273.70009384541,7274.87670274727,0.353217803720327,0.0744016795885383,3.63799753312306,0.999655463502963
"j_turbot",11928.6487369197,11929.0931160603,-1.11124171860865,0.0813027736968231,3.54929591703816,0.999524751686153
"a_turbot",7855.37602456711,7759.62054633911,-193.51095645599,203.441888205286,-4.27565963161746,0.74525425011695
"halibut",33475.3743275582,33476.0858059988,-0.577043118712027,0.0886451358492328,3.4628348879642,0.999353135181968
"ej_fhs",26323.5855989923,26324.6343695045,0.0975410244282102,0.103518426891407,3.30772641536531,0.998892143450202
"j_fhs",59863.2169410178,59863.8048407929,-0.824200449918862,0.062956489278786,3.80503220840507,0.999814307261538
"a_fhs",53003.0775240052,52697.7373934671,-612.680261076253,8.41099333300732,-1.08981880948846,0.807651445637931
"j_berfl",13888.8723078967,13847.9135400215,-83.917535750501,0.000128414738753475,9.9999661563363,0.99999999999999
"a_berfl",15191.9045664693,15181.958125235,-21.89288246871,2939.66018225908,-6.94632849854682,0.7445962350585
"j_rex",9112.73660775559,9119.60804471214,11.7428739130992,0.142413188668562,2.98874343807837,0.99689700462758
"a_rex",10564.7077244074,10574.3900218421,17.3645948693811,0.123602487666881,3.1304053782463,0.998007709080939
"ej_yfs",14998.960110226,14998.9601095939,-2.00000126417581,0.00016057549116349,9.77646714688569,0.999999999999989
"j_yfs",67101.0589118869,67105.5699507827,7.02207779148011,3.74548732938368,-0.280830965669672,0.833909008284081
"a_yfs",65699.5114702934,65699.511471108,-1.99999837068026,0.000128413623748517,9.99997483921655,0.999999999999989
"lhdab",13694.236089667,13694.2360884161,-2.0000025016634,0.00012839855613811,10.0000921826419,0.999999999999998
"a_starry",8727.640852225,8727.64084289476,-2.00001866048115,0.000575378244235282,8.50020368821163,0.999999999998517
"ej_nrs",22290.9720874608,22290.972084264,-2.00000639345672,0.000282691114161095,9.21087649664288,0.999999999999914
"j_nrs",58550.0814459738,58551.5286181187,0.894344289874425,0.117638228304922,3.17986199656145,0.998302804851887
"a_nrs",57396.7439091645,57396.8530853293,-1.78164767034468,0.0461128102464445,4.1163852588884,0.999943194992107
"j_akplce",34762.5976080968,34757.1113146773,-12.9725868389651,5537.35201937785,-7.57955091979348,0.744593943409302
"a_akplce",48855.6763721391,48869.3921009099,25.431457541592,2.41851308437845,0.156567847452318,0.857226904261981
"a_yil",5861.80014974453,5843.92862446322,-37.7430505626326,160029.088800936,-10.9433901118574,0.744593325611245
"j_great",12600.4810868741,12605.4452478654,7.92832198257383,0.891898763295283,1.15412341774657,0.922909944947913
"a_great",8565.49376860251,8565.08904618684,-2.80944483133499,1.31199751953281,0.768169970919801,0.89720923151808
"a_bigmouth",6584.35221363833,6584.35221927438,-1.99998872789001,0.000128676162432572,9.99793244944123,0.999999999999999
"ej_pcod",16389.3201678591,16389.3201678362,-2.00000004583126,0.000069695848572549,10.611090574181,1
"j_pcod",63565.4673688623,63568.6160093964,4.29728106805123,0.115518929225537,3.19804164389002,0.998401017037378
"a_pcod",47070.8799388272,47072.3559111839,0.951944713364355,0.0878830625627026,3.47146895354211,0.999372589940057
"ej_poll",56926.489505164,56929.4303104333,3.88161053857766,0.158791410280504,2.87988459390461,0.995714982676307
"j_poll",58536.3414230133,58541.0480182251,7.4131904237147,0.166136734779933,2.83466489702948,0.99512405794197
"a_poll",94555.2411633708,94555.2411519345,-2.00002287264215,0.000192523227335048,9.59501452087459,0.99999999999998
"cap",23428.5143387512,23424.8925864111,-9.24350468022749,10064.0779483747,-8.17700695333806,0.744593316560791
"tanner",48365.8687827566,48371.5296403768,9.32171524045407,0.163982435642111,2.84771672747667,0.995301097153254
"snow",69364.4282389837,69369.2328108124,7.6091436574352,0.227585028447777,2.51995212983991,0.989010998813956
"rking",14429.7082410355,14453.2418197009,45.0671573307554,1.18777471968355,0.867639197777489,0.903947125894535
"bking",6777.19056451314,6780.70233324616,5.02353746604786,0.41101920938416,1.92883609825704,0.966877242655107
