"","species","model","beta0","beta_j_1","beta_j_2","ln_tau","ln_kappa","ln_kappa2","ln_sigma_eta"
"1","j_ber_sk","diffusion",-3.097592345263,6.08239796417179,-3.20838931308287,-3.47407482479661,1.77489244360552,1.93876207733002,0.495524924704575
"2","j_ber_sk","null",-7.28214873973864,0.578489135485813,-0.488420033460796,-2.549332007759,0.00292272034976148,NA,0.44827492034413
"3","a_ber_sk","diffusion",-8.49417698661219,0.424240600833964,-0.526004601310746,-1.46670023843019,-1.30807086961352,3.00495556187576,0.274946082580573
"4","a_ber_sk","null",-8.62288503691223,0.243284852192515,-0.381836041687359,-1.47715333637847,-1.30381208022942,NA,0.27434883330346
"5","j_ak_sk","diffusion",-2.64200983161471,-0.981210728700243,-0.8654833165875,-0.730936013491403,-1.5389739594151,3.15691544927837,0.769048930093086
"6","j_ak_sk","null",-2.69552526233332,-0.956547660407939,-0.810791245582843,-0.737377113529771,-1.55787139394468,NA,0.769046849845074
"7","a_ak_sk","diffusion",-1.78073864794763,-0.319582582736968,-1.22272756057544,-0.775372664824761,-0.734945957610786,6.67594084600886,0.495125194842043
"8","a_ak_sk","null",-1.74731959819007,-0.316065495553259,-1.22521068820222,-0.776531812485996,-0.724071238636137,NA,0.491364628383415
"9","j_alt_sk","diffusion",-4.54032058898262,6.5114720084835,-1.60152939993573,-3.64389651742687,1.82228161581785,2.0032022439002,0.119657893433934
"10","j_alt_sk","null",-7.55861060117597,2.34747449554259,-0.403034096947847,-3.07864058368217,0.516739171642751,NA,0.104656343492858
"11","ej_atf","diffusion",-11.3358453823776,-7.18730369255301,-6.91243446104049,-1.66789316475134,-1.54019082819977,6.96706163205518,0.816990099719212
"12","ej_atf","null",-11.3193023382253,-7.1879053634813,-6.91694246811911,-1.66779882293748,-1.54054449738946,NA,0.816990750594182
"13","j_atf","diffusion",-5.51847217549898,0.352318828241582,-1.49758788660521,-1.48815881953133,-1.65584769874025,3.15306271849495,0.794120116410466
"14","j_atf","null",-5.83057864654828,0.0576184059378378,-1.17714778735208,-1.52261875538849,-1.63891305528619,NA,0.794003825854016
