"","obj_diffusion","obj_null","deltaAIC","range","ln_kappa2","corr_depth"
"j_ber_sk",5089.75850500693,5122.43086148762,63.3447129613851,0.42276747251056,1.90065373229885,0.964269868220981
"a_ber_sk",5343.35570923759,5345.48076026814,2.25010206110164,0.181546553080793,2.74596393820202,0.993468223502886
"j_ak_sk",33920.4729018774,33923.0636234462,3.18144313765515,0.164853035923717,2.84242166419414,0.994952024579509
"a_ak_sk",20859.0261884442,20859.2023715942,-1.64763369987486,0.0586470723112664,3.87593839393499,0.999835039925
"j_alt_sk",4006.63504490685,4055.62018517609,95.9702805384732,0.375274250885573,2.01981895545242,0.970250882207535
"ej_atf",12509.6541213465,12521.3005270158,21.2928113384551,0.20416736707282,2.62853596551642,0.991219842947697
"j_atf",45426.4307649238,45436.2730170251,17.6845042025379,0.144134937263191,2.97672612468903,0.996548153063909
"a_atf",29621.1325794929,29624.2969630705,4.32876715512248,0.092018864974736,3.42548243972051,0.999172066569599
"j_kam",28079.3446311693,28097.3492900422,34.0093177458039,0.194424636597255,2.67743143435811,0.992218592112615
"a_kam",7274.84501471169,7280.54764996619,9.4052705090071,0.112649831425341,3.22319187939107,0.998380526527687
"j_turbot",11927.6487128986,11928.6265783593,-0.0442690785494051,0.111300865741509,3.23523901312059,0.998442146058218
"a_turbot",7852.17830280063,7780.10872313413,-146.139159333004,41.8665788491682,-2.69476709697216,0.743628884340033
"halibut",33478.8014067674,33479.3723674914,-0.858078552089864,0.0834723257715548,3.52296090078518,0.999408798621918
"ej_fhs",26325.2755395114,26326.4734551311,0.395831239322433,0.110613222073724,3.24143641929217,0.998473018798443
"j_fhs",59847.9231001755,59848.1624318196,-1.52133671165211,0.049401825214336,4.0474886786521,0.99991342524614
"a_fhs",52679.2838773168,52680.7073562354,0.846957837085938,0.0680615096977289,3.72706419913035,0.999714688078665
"j_berfl",13849.4153318246,13849.415333192,-1.99999726536771,0.000128473128569337,9.99951156252869,1
"a_berfl",15192.0849388648,15182.0718809808,-22.026115768007,1961.30217068407,-6.54164313358473,0.730995777388354
"j_rex",9113.66957226952,9120.41090390479,11.4826632705226,0.138829993208295,3.01422593569637,0.996908859095551
"a_rex",10563.9298223919,10574.5319980646,19.2043513453318,0.132399485402214,3.06165229301692,0.997318414516044
"ej_yfs",14999.8618146682,14999.8618140284,-2.00000127963722,0.00016057230903212,9.77648696412478,0.99999999999998
"j_yfs",67106.7924794032,67108.9428002639,2.30064172137645,3.52745192418759,-0.220855004949558,0.820312486944051
"a_yfs",65695.9232416786,65695.9232432385,-1.99999688015669,0.000128415049101867,9.99996373957308,1
"lhdab",13692.872813934,13692.8728127936,-2.00000228075078,0.000128401643033847,10.0000681414164,0.999999999999987
"a_starry",8726.96796000182,8726.96795042728,-2.00001914907625,0.000575159767280169,8.50058347046228,0.999999999998227
"ej_nrs",22295.0336951977,22287.1019375995,-17.8635151963827,79.9556040720849,-3.34175076069378,0.734909782311173
"j_nrs",58549.8721832634,58551.1089592523,0.473551977658644,0.130495373315024,3.07613827721252,0.997433764862328
"a_nrs",57399.5324710524,57399.5324644764,-2.00001315199188,0.000321281503618157,9.08291363166544,0.999999999999825
"j_akplce",34763.3518799239,34757.5787539547,-13.5462519384746,392.565363632584,-4.93298228406569,0.731159452652575
"a_akplce",48856.9885889139,48873.1722875852,30.3673973426048,2.32771696394298,0.194832827424354,0.84533183239684
"a_yil",5863.6764768635,5844.59769240044,-40.1575689261299,39820.2158788914,-9.55240922813202,0.730988950533355
"j_great",12597.8619644104,12607.6328569438,17.5417850668018,0.923496892715293,1.11930861487137,0.913464458198407
"a_great",8564.17753999165,8565.00254851727,-0.349982948762772,1.38000572778634,0.717633121109605,0.883147887763752
"a_bigmouth",6573.47008798225,6573.4700919566,-1.99999205129279,0.000128570846351058,9.99875124292611,0.999999999999994
"ej_pcod",16390.4413252419,16390.4413248783,-2.00000072708644,0.0000696939225276616,10.6111182095645,1
"j_pcod",63578.7370805343,63584.2234538603,8.97274665188161,0.137557222892885,3.02343605279497,0.996992350473023
"a_pcod",47067.2621743234,47067.3832572971,-1.75783405259426,0.0445646191617509,4.15053579795634,0.999941545980587
"ej_poll",56922.0587516405,56930.6513005055,15.1850977299036,0.220929975868596,2.54963024978559,0.989408597121569
"j_poll",58532.8456318239,58537.5898656858,7.48846772385878,0.170506000395522,2.80870556078213,0.994468022520719
"a_poll",94551.2998550828,94551.2998475182,-2.0000151291606,0.000115153977136848,10.1089611643858,0.99999999999999
"cap",23428.0950557495,23424.5865778164,-9.01695586614369,8108.25586023363,-7.96091729275031,0.730989333062226
"tanner",48360.95415493,48370.7614584183,17.614606976611,0.17928967738997,2.75847324259182,0.993678224153484
"snow",69359.2381752993,69362.8223994773,5.16844835589291,0.199517664068013,2.65157327571742,0.991701865656228
"rking",14428.5984361659,14452.9622939078,46.7277154837866,1.28773629919573,0.786834900768444,0.88839385433966
"bking",6775.9872434098,6778.89847608906,3.82246535852028,0.4488625788479,1.84075926939825,0.961050921539446
