par,est,iter,ln_sigma_eta,Estimation model,Operating model
beta[j1],-2.317210843203269,1,0,Diffusion,Operating model = Diffusion
beta[j1],-2.2836192454266606,1,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.43638265792903,1,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3889491872185937,2,0,Diffusion,Operating model = Diffusion
beta[j1],-1.884748310690483,2,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.5384233026876037,2,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3963330130649036,3,0,Diffusion,Operating model = Diffusion
beta[j1],-2.500141854868339,3,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.566982890368618,3,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.7887869465638317,4,0,Diffusion,Operating model = Diffusion
beta[j1],-3.066263875500886,4,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.4091742070882587,4,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.289649900469142,5,0,Diffusion,Operating model = Diffusion
beta[j1],-2.404965714130419,5,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.21653006758187,5,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5942629954637884,6,0,Diffusion,Operating model = Diffusion
beta[j1],-2.1257224458081194,6,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.112906939633261,6,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.2227207326564593,7,0,Diffusion,Operating model = Diffusion
beta[j1],-2.5980335441199416,7,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.3411627247460673,7,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.401845531110225,8,0,Diffusion,Operating model = Diffusion
beta[j1],-2.23613601975458,8,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.4951219541871854,8,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-1.7633600120277884,9,0,Diffusion,Operating model = Diffusion
beta[j1],-2.57708800870981,9,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.344108367507184,9,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.181329958660376,10,0,Diffusion,Operating model = Diffusion
beta[j1],-2.4521025025935845,10,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.3554401563117056,10,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.498105877481635,11,0,Diffusion,Operating model = Diffusion
beta[j1],-2.4384859855065186,11,-2.30258509299405,Diffusion,Operating model = Diffusion
