par,est,iter,ln_sigma_eta,ln_kappa2,Estimation model,Operating model
beta[j1],-0.7535091100519411,1,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.9536143459390696,1,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.7578925724298202,1,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.6473585986516524,1,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.10257234113414342,1,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.134542085996997,2,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.7145403746508618,2,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.6440161267910254,2,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.3535141979084226,2,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.19571628245297262,2,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.3670780907178817,3,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.7482956766869215,3,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.2138529999316912,3,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.628022746295934,3,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.1786076595339406,3,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.2461850061143471,4,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.0355303200525379,4,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.7129554196793738,4,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.689690656562187,4,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.3037661643154394,4,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.1155309763348609,5,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.3748081163796515,5,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-2.051595083670791,5,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.285634144816589,5,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.32164897190191394,5,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.62108963601159894,6,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.4362582803800008,6,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.2738024893001627,6,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-3.1414674372841174,6,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.49603746979361174,6,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.7765886474035514,7,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.0776277683401856,7,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.6914699247541096,7,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.8246201674029563,7,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.14478356033633108,7,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.9021491885966985,8,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.6638626766356703,8,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.0562026670369207,8,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.2953539989035123,8,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.13886834458694022,8,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.6876635743337712,9,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.9597439134362591,9,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.6652337898393662,9,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.6591202259946556,9,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.5887309912240525,9,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.8308267155415886,10,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-0.7702936760117504,10,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.8946568683567113,10,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.27839752180395,10,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.24624202908383253,10,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.0461689824362317,11,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.109679317253994,11,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-1.1070319020124608,11,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.4652921594897963,11,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.16422089051472236,11,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-0.73025194443507,12,0.25,1.5,Null,Operating model = Diffusion
beta[j1],-1.0664871436718761,12,0.1,1.5,Null,Operating model = Diffusion
beta[j1],-0.7336246815969603,12,0.5,1.5,Null,Operating model = Diffusion
beta[j1],-2.912588877425665,12,0.25,3,Null,Operating model = Diffusion
beta[j1],-0.27531166619186587,12,0.25,0.5,Null,Operating model = Diffusion
beta[j1],-1.78828233024255,13,0.25,1.5,Null,Operating model = Diffusion
